state,age_group,disability_type,support_class,participant_count,average_support_budget,utilisation_rate,active_provider_count,participant_to_provider_ratio,utilisation_gap,payment_per_participant,access_risk,recommended_support
ACT,15 to 18,Other Neurological,Capital,10,21000.0,68.5,3,3.3333,31.5,0.0,Medium Risk,Provider Availability Review
ACT,15 to 18,Other Neurological,Core,21,23000.0,88.0,3,7.0,12.0,22476.0,Medium Risk,Provider Availability Review
ACT,15 to 18,Other Physical,Capacity Building,25,13000.0,33.0,8,3.125,67.0,3800.0,Medium Risk,Assistive Technology / Transport Support
ACT,15 to 18,Other Physical,Capital,10,9000.0,36.5,1,10.0,63.5,0.0,High Risk,Provider Availability Review
ACT,15 to 18,Other Physical,Core,28,5000.0,40.0,6,4.6667,60.0,2571.0,Medium Risk,Assistive Technology / Transport Support
ACT,15 to 18,Other Sensory/Speech,Capacity Building,10,19000.0,58.0,1,10.0,42.0,0.0,Medium Risk,Provider Availability Review
ACT,15 to 18,Other Sensory/Speech,Capital,10,19000.0,60.0,1,10.0,40.0,0.0,Medium Risk,Provider Availability Review
ACT,15 to 18,Other Sensory/Speech,Core,10,83000.0,76.0,1,10.0,24.0,0.0,Medium Risk,Provider Availability Review
ACT,15 to 18,Psychosocial Disability,Capacity Building,10,19000.0,50.0,3,3.3333,50.0,0.0,High Risk,Provider Availability Review
ACT,15 to 18,Psychosocial Disability,Core,10,83000.0,50.0,3,3.3333,50.0,0.0,High Risk,Provider Availability Review
ACT,15 to 18,Spinal Cord Injury,Capacity Building,10,19000.0,58.0,8,1.25,42.0,0.0,Medium Risk,Assistive Technology / Transport Support
ACT,15 to 18,Spinal Cord Injury,Capital,10,19000.0,60.0,1,10.0,40.0,0.0,Medium Risk,Provider Availability Review
ACT,15 to 18,Spinal Cord Injury,Core,10,83000.0,76.0,6,1.6667,24.0,0.0,Medium Risk,Assistive Technology / Transport Support
ACT,15 to 18,Visual Impairment,Capacity Building,10,19000.0,58.0,8,1.25,42.0,0.0,Medium Risk,Assistive Technology and Communication Support
ACT,15 to 18,Visual Impairment,Capital,10,19000.0,60.0,1,10.0,40.0,0.0,Medium Risk,Provider Availability Review
ACT,15 to 18,Visual Impairment,Core,10,83000.0,76.0,6,1.6667,24.0,0.0,Medium Risk,Assistive Technology and Communication Support
ACT,19 to 24,ABI,Capacity Building,12,27000.0,47.0,3,4.0,53.0,12500.0,High Risk,Provider Availability Review
ACT,19 to 24,ABI,Capital,10,81000.0,53.5,1,10.0,46.5,0.0,High Risk,Provider Availability Review
ACT,19 to 24,ABI,Core,11,135000.0,60.0,1,11.0,40.0,83636.0,High Risk,Provider Availability Review
ACT,19 to 24,Autism,Capacity Building,747,21000.0,43.0,54,13.8333,57.0,9312.0,Medium Risk,Capacity Building - Improved Daily Living
ACT,19 to 24,Autism,Capital,25,10000.0,73.0,1,25.0,27.0,0.0,Medium Risk,Provider Availability Review
ACT,19 to 24,Autism,Core,621,48000.0,76.0,14,44.3571,24.0,35285.0,Medium Risk,Capacity Building - Improved Daily Living
ACT,19 to 24,Cerebral Palsy,Capacity Building,52,21000.0,46.0,9,5.7778,54.0,10769.0,Medium Risk,Capacity Building Support Review
ACT,19 to 24,Cerebral Palsy,Capital,30,19000.0,73.0,6,5.0,27.0,4133.0,Medium Risk,Plan Utilisation Support
ACT,19 to 24,Cerebral Palsy,Core,49,91000.0,91.0,2,24.5,9.0,78327.0,Medium Risk,Provider Availability Review
ACT,19 to 24,Down Syndrome,Capacity Building,35,33000.0,66.0,8,4.375,34.0,18257.0,Medium Risk,Capacity Building Support Review
ACT,19 to 24,Down Syndrome,Capital,10,79000.0,67.0,5,2.0,33.0,0.0,High Risk,Provider Availability Review
ACT,19 to 24,Down Syndrome,Core,29,125000.0,68.0,2,14.5,32.0,81793.0,High Risk,Provider Availability Review
ACT,19 to 24,Hearing Impairment,Capacity Building,41,8000.0,39.0,8,5.125,61.0,2195.0,Medium Risk,Assistive Technology and Communication Support
ACT,19 to 24,Hearing Impairment,Capital,10,6000.0,45.5,1,10.0,54.5,0.0,High Risk,Provider Availability Review
ACT,19 to 24,Hearing Impairment,Core,44,4000.0,52.0,6,7.3333,48.0,1591.0,Medium Risk,Assistive Technology and Communication Support
ACT,19 to 24,Intellectual Disability,Capacity Building,227,26000.0,50.0,33,6.8788,50.0,13370.0,Medium Risk,Capacity Building - Social and Community Participation
ACT,19 to 24,Intellectual Disability,Capital,20,11000.0,28.0,1,20.0,72.0,0.0,High Risk,Provider Availability Review
ACT,19 to 24,Intellectual Disability,Core,194,95000.0,80.0,9,21.5556,20.0,74778.0,Medium Risk,Capacity Building - Social and Community Participation
ACT,19 to 24,Multiple Sclerosis,Capacity Building,10,19000.0,58.0,8,1.25,42.0,0.0,Medium Risk,Capacity Building Support Review
ACT,19 to 24,Multiple Sclerosis,Core,10,83000.0,76.0,6,1.6667,24.0,0.0,Medium Risk,Core Support Monitoring
ACT,19 to 24,Other,Capacity Building,10,19000.0,58.0,1,10.0,42.0,0.0,Medium Risk,Provider Availability Review
ACT,19 to 24,Other,Capital,10,19000.0,60.0,1,10.0,40.0,0.0,Medium Risk,Provider Availability Review
ACT,19 to 24,Other,Core,10,83000.0,76.0,1,10.0,24.0,0.0,Medium Risk,Provider Availability Review
ACT,19 to 24,Other Neurological,Capacity Building,26,21000.0,53.0,3,8.6667,47.0,7615.0,Medium Risk,Provider Availability Review
ACT,19 to 24,Other Neurological,Capital,10,53500.0,45.5,1,10.0,54.5,0.0,High Risk,Provider Availability Review
ACT,19 to 24,Other Neurological,Core,18,86000.0,38.0,2,9.0,62.0,0.0,High Risk,Provider Availability Review
ACT,19 to 24,Other Physical,Capacity Building,21,11000.0,35.0,8,2.625,65.0,3619.0,Medium Risk,Assistive Technology / Transport Support
ACT,19 to 24,Other Physical,Capital,10,12500.0,37.5,1,10.0,62.5,0.0,High Risk,Provider Availability Review
ACT,19 to 24,Other Physical,Core,21,14000.0,40.0,6,3.5,60.0,4619.0,Medium Risk,Assistive Technology / Transport Support
ACT,19 to 24,Other Sensory/Speech,Capacity Building,10,19000.0,58.0,8,1.25,42.0,0.0,Medium Risk,Assistive Technology and Communication Support
ACT,19 to 24,Other Sensory/Speech,Core,10,83000.0,76.0,6,1.6667,24.0,0.0,Medium Risk,Assistive Technology and Communication Support
ACT,19 to 24,Psychosocial Disability,Capacity Building,28,22000.0,40.0,5,5.6,60.0,8179.0,High Risk,Provider Availability Review
ACT,19 to 24,Psychosocial Disability,Core,22,86000.0,70.0,2,11.0,30.0,69182.0,High Risk,Provider Availability Review
ACT,19 to 24,Spinal Cord Injury,Capacity Building,10,19000.0,58.0,1,10.0,42.0,0.0,Medium Risk,Provider Availability Review
ACT,19 to 24,Spinal Cord Injury,Capital,10,19000.0,60.0,1,10.0,40.0,0.0,Medium Risk,Provider Availability Review
ACT,19 to 24,Spinal Cord Injury,Core,10,83000.0,76.0,1,10.0,24.0,0.0,Medium Risk,Provider Availability Review
ACT,19 to 24,Stroke,Capacity Building,10,19000.0,58.0,8,1.25,42.0,0.0,Medium Risk,Therapy and Daily Living Support Review
ACT,19 to 24,Stroke,Capital,10,19000.0,60.0,1,10.0,40.0,0.0,Medium Risk,Provider Availability Review
ACT,19 to 24,Stroke,Core,10,83000.0,76.0,6,1.6667,24.0,0.0,Medium Risk,Therapy and Daily Living Support Review
ACT,19 to 24,Visual Impairment,Capacity Building,17,11000.0,53.0,4,4.25,47.0,5294.0,Medium Risk,Provider Availability Review
ACT,19 to 24,Visual Impairment,Capital,10,15500.0,56.5,3,3.3333,43.5,0.0,Medium Risk,Provider Availability Review
ACT,19 to 24,Visual Impairment,Core,16,20000.0,60.0,2,8.0,40.0,10688.0,Medium Risk,Provider Availability Review
ACT,25 to 34,ABI,Capacity Building,31,48000.0,78.0,11,2.8182,22.0,27194.0,Medium Risk,Capacity Building Support Review
ACT,25 to 34,ABI,Capital,15,14000.0,89.0,8,1.875,11.0,0.0,Low Risk,General Core Support Monitoring
ACT,25 to 34,ABI,Core,24,132000.0,79.0,6,4.0,21.0,105708.0,Medium Risk,Core Support Monitoring
ACT,25 to 34,Autism,Capacity Building,574,16000.0,47.0,50,11.48,53.0,7382.0,Medium Risk,Capacity Building - Improved Daily Living
ACT,25 to 34,Autism,Capital,16,8000.0,16.0,38,0.4211,84.0,0.0,Medium Risk,Capacity Building - Improved Daily Living
ACT,25 to 34,Autism,Core,512,61000.0,75.0,25,20.48,25.0,46174.0,Medium Risk,Capacity Building - Improved Daily Living
ACT,25 to 34,Cerebral Palsy,Capacity Building,64,20000.0,57.0,16,4.0,43.0,11984.0,Medium Risk,Capacity Building Support Review
ACT,25 to 34,Cerebral Palsy,Capital,43,21000.0,71.0,4,10.75,29.0,11302.0,Medium Risk,Provider Availability Review
ACT,25 to 34,Cerebral Palsy,Core,64,168000.0,91.0,5,12.8,9.0,154141.0,Medium Risk,Provider Availability Review
ACT,25 to 34,Down Syndrome,Capacity Building,50,17000.0,64.0,17,2.9412,36.0,9000.0,Medium Risk,Capacity Building Support Review
ACT,25 to 34,Down Syndrome,Capital,10,79000.0,71.5,1,10.0,28.5,0.0,Medium Risk,Provider Availability Review
ACT,25 to 34,Down Syndrome,Core,47,141000.0,79.0,8,5.875,21.0,107128.0,Medium Risk,Core Support Monitoring
ACT,25 to 34,Hearing Impairment,Capacity Building,47,4000.0,25.0,1,47.0,75.0,957.0,High Risk,Provider Availability Review
ACT,25 to 34,Hearing Impairment,Capital,18,7000.0,97.0,1,18.0,3.0,0.0,Medium Risk,Provider Availability Review
ACT,25 to 34,Hearing Impairment,Core,58,4000.0,30.0,1,58.0,70.0,1362.0,High Risk,Support Coordination / Plan Management Review
ACT,25 to 34,Intellectual Disability,Capacity Building,231,20000.0,61.0,40,5.775,39.0,12039.0,Medium Risk,Capacity Building - Social and Community Participation
ACT,25 to 34,Intellectual Disability,Capital,45,17000.0,53.0,2,22.5,47.0,2756.0,High Risk,Provider Availability Review
ACT,25 to 34,Intellectual Disability,Core,222,134000.0,86.0,28,7.9286,14.0,118113.0,Low Risk,Capacity Building - Social and Community Participation
ACT,25 to 34,Multiple Sclerosis,Capacity Building,21,13000.0,49.0,1,21.0,51.0,3333.0,High Risk,Provider Availability Review
ACT,25 to 34,Multiple Sclerosis,Capital,10,14500.0,44.0,1,10.0,56.0,0.0,High Risk,Provider Availability Review
ACT,25 to 34,Multiple Sclerosis,Core,21,16000.0,39.0,1,21.0,61.0,3476.0,High Risk,Provider Availability Review
ACT,25 to 34,Other,Capacity Building,10,19000.0,58.0,8,1.25,42.0,0.0,Medium Risk,Capacity Building Support Review
ACT,25 to 34,Other,Capital,10,19000.0,60.0,1,10.0,40.0,0.0,Medium Risk,Provider Availability Review
ACT,25 to 34,Other,Core,10,83000.0,76.0,6,1.6667,24.0,0.0,Medium Risk,Core Support Monitoring
ACT,25 to 34,Other Neurological,Capacity Building,28,23000.0,58.0,3,9.3333,42.0,8071.0,Medium Risk,Provider Availability Review
ACT,25 to 34,Other Neurological,Capital,10,56500.0,69.5,1,10.0,30.5,0.0,Medium Risk,Provider Availability Review
ACT,25 to 34,Other Neurological,Core,20,90000.0,81.0,2,10.0,19.0,79300.0,Medium Risk,Provider Availability Review
ACT,25 to 34,Other Physical,Capacity Building,43,12000.0,48.0,4,10.75,52.0,6186.0,High Risk,Provider Availability Review
ACT,25 to 34,Other Physical,Capital,18,23000.0,78.0,3,6.0,22.0,0.0,Medium Risk,Provider Availability Review
ACT,25 to 34,Other Physical,Core,39,42000.0,68.0,4,9.75,32.0,25692.0,Medium Risk,Provider Availability Review
ACT,25 to 34,Other Sensory/Speech,Capacity Building,10,19000.0,58.0,8,1.25,42.0,0.0,Medium Risk,Assistive Technology and Communication Support
ACT,25 to 34,Other Sensory/Speech,Core,10,83000.0,76.0,6,1.6667,24.0,0.0,Medium Risk,Assistive Technology and Communication Support
ACT,25 to 34,Psychosocial Disability,Capacity Building,142,24000.0,56.0,39,3.641,44.0,12944.0,Medium Risk,Psychosocial Recovery and Community Participation
ACT,25 to 34,Psychosocial Disability,Capital,10,64000.0,64.0,26,0.3846,36.0,0.0,Medium Risk,Psychosocial Recovery and Community Participation
ACT,25 to 34,Psychosocial Disability,Core,147,104000.0,72.0,13,11.3077,28.0,73041.0,Medium Risk,Psychosocial Recovery and Community Participation
ACT,25 to 34,Spinal Cord Injury,Capacity Building,10,19000.0,58.0,3,3.3333,42.0,0.0,Medium Risk,Provider Availability Review
ACT,25 to 34,Spinal Cord Injury,Capital,10,19000.0,60.0,3,3.3333,40.0,0.0,Medium Risk,Provider Availability Review
ACT,25 to 34,Spinal Cord Injury,Core,10,83000.0,76.0,3,3.3333,24.0,0.0,Medium Risk,Provider Availability Review
ACT,25 to 34,Stroke,Capacity Building,10,19000.0,58.0,8,1.25,42.0,0.0,Medium Risk,Therapy and Daily Living Support Review
ACT,25 to 34,Stroke,Capital,10,19000.0,60.0,1,10.0,40.0,0.0,Medium Risk,Provider Availability Review
ACT,25 to 34,Stroke,Core,10,83000.0,76.0,6,1.6667,24.0,0.0,Medium Risk,Therapy and Daily Living Support Review
ACT,25 to 34,Visual Impairment,Capacity Building,27,8000.0,36.0,2,13.5,64.0,1778.0,High Risk,Provider Availability Review
ACT,25 to 34,Visual Impairment,Capital,10,24000.0,52.0,2,5.0,48.0,0.0,Medium Risk,Provider Availability Review
ACT,25 to 34,Visual Impairment,Core,19,40000.0,68.0,2,9.5,32.0,27947.0,Medium Risk,Provider Availability Review
ACT,35 to 44,ABI,Capacity Building,42,21000.0,64.0,18,2.3333,36.0,12024.0,Medium Risk,Capacity Building Support Review
ACT,35 to 44,ABI,Capital,14,38000.0,72.0,3,4.6667,28.0,25500.0,Medium Risk,Provider Availability Review
ACT,35 to 44,ABI,Core,43,169000.0,92.0,8,5.375,8.0,155907.0,Medium Risk,Core Support Monitoring
ACT,35 to 44,Autism,Capacity Building,209,15000.0,54.0,27,7.7407,46.0,7799.0,Medium Risk,Capacity Building - Improved Daily Living
ACT,35 to 44,Autism,Capital,22,7000.0,7.0,20,1.1,93.0,0.0,Medium Risk,Capacity Building - Improved Daily Living
ACT,35 to 44,Autism,Core,193,85000.0,89.0,14,13.7857,11.0,76233.0,Medium Risk,Capacity Building - Improved Daily Living
ACT,35 to 44,Cerebral Palsy,Capacity Building,33,18000.0,67.0,14,2.3571,33.0,12667.0,Medium Risk,Capacity Building Support Review
ACT,35 to 44,Cerebral Palsy,Capital,22,23000.0,65.0,1,22.0,35.0,10818.0,High Risk,Provider Availability Review
ACT,35 to 44,Cerebral Palsy,Core,33,187000.0,91.0,4,8.25,9.0,155788.0,Medium Risk,Provider Availability Review
ACT,35 to 44,Down Syndrome,Capacity Building,41,19000.0,54.0,13,3.1538,46.0,9537.0,Medium Risk,Capacity Building Support Review
ACT,35 to 44,Down Syndrome,Capital,10,87000.0,68.0,9,1.1111,32.0,0.0,Medium Risk,High-Intensity Support Review
ACT,35 to 44,Down Syndrome,Core,36,155000.0,82.0,5,7.2,18.0,118778.0,Medium Risk,Provider Availability Review
ACT,35 to 44,Hearing Impairment,Capacity Building,47,4000.0,43.0,1,47.0,57.0,1830.0,High Risk,Provider Availability Review
ACT,35 to 44,Hearing Impairment,Capital,22,9000.0,58.0,2,11.0,42.0,0.0,Medium Risk,Provider Availability Review
ACT,35 to 44,Hearing Impairment,Core,51,8000.0,66.0,2,25.5,34.0,5255.0,High Risk,Provider Availability Review
ACT,35 to 44,Intellectual Disability,Capacity Building,135,20000.0,64.0,38,3.5526,36.0,12652.0,Medium Risk,Capacity Building - Social and Community Participation
ACT,35 to 44,Intellectual Disability,Capital,35,19000.0,27.0,4,8.75,73.0,7657.0,High Risk,Provider Availability Review
ACT,35 to 44,Intellectual Disability,Core,136,161000.0,91.0,30,4.5333,9.0,149765.0,Low Risk,Capacity Building - Social and Community Participation
ACT,35 to 44,Multiple Sclerosis,Capacity Building,43,16000.0,74.0,4,10.75,26.0,9605.0,Medium Risk,Provider Availability Review
ACT,35 to 44,Multiple Sclerosis,Capital,27,7000.0,20.0,3,9.0,80.0,0.0,High Risk,Provider Availability Review
ACT,35 to 44,Multiple Sclerosis,Core,35,62000.0,99.0,2,17.5,1.0,73143.0,Medium Risk,Provider Availability Review
ACT,35 to 44,Other,Capacity Building,20,16000.0,55.0,1,20.0,45.0,10100.0,High Risk,Provider Availability Review
ACT,35 to 44,Other,Capital,13,45000.0,26.0,1,13.0,74.0,0.0,High Risk,Provider Availability Review
ACT,35 to 44,Other,Core,19,101000.0,76.0,1,19.0,24.0,70421.0,Medium Risk,Provider Availability Review
ACT,35 to 44,Other Neurological,Capacity Building,30,22000.0,84.0,5,6.0,16.0,15833.0,Medium Risk,Provider Availability Review
ACT,35 to 44,Other Neurological,Capital,20,21000.0,79.0,1,20.0,21.0,15300.0,Medium Risk,Provider Availability Review
ACT,35 to 44,Other Neurological,Core,29,164000.0,89.0,3,9.6667,11.0,132414.0,Medium Risk,Provider Availability Review
ACT,35 to 44,Other Physical,Capacity Building,44,13000.0,63.0,6,7.3333,37.0,8159.0,Medium Risk,Assistive Technology / Transport Support
ACT,35 to 44,Other Physical,Capital,26,32000.0,39.0,1,26.0,61.0,10846.0,High Risk,Provider Availability Review
ACT,35 to 44,Other Physical,Core,46,72000.0,81.0,2,23.0,19.0,58500.0,Medium Risk,Provider Availability Review
ACT,35 to 44,Other Sensory/Speech,Capacity Building,10,19000.0,58.0,8,1.25,42.0,0.0,Medium Risk,Assistive Technology and Communication Support
ACT,35 to 44,Other Sensory/Speech,Core,10,83000.0,76.0,6,1.6667,24.0,0.0,Medium Risk,Assistive Technology and Communication Support
ACT,35 to 44,Psychosocial Disability,Capacity Building,239,21000.0,52.0,53,4.5094,48.0,11280.0,Medium Risk,Psychosocial Recovery and Community Participation
ACT,35 to 44,Psychosocial Disability,Capital,10,59000.0,63.0,36,0.2778,37.0,0.0,Medium Risk,Psychosocial Recovery and Community Participation
ACT,35 to 44,Psychosocial Disability,Core,238,97000.0,74.0,19,12.5263,26.0,77983.0,Medium Risk,Psychosocial Recovery and Community Participation
ACT,35 to 44,Spinal Cord Injury,Capacity Building,13,19000.0,58.0,3,4.3333,42.0,12385.0,Medium Risk,Provider Availability Review
ACT,35 to 44,Spinal Cord Injury,Capital,12,24000.0,73.0,1,12.0,27.0,0.0,Medium Risk,Provider Availability Review
ACT,35 to 44,Spinal Cord Injury,Core,14,89000.0,84.0,1,14.0,16.0,76571.0,Medium Risk,Provider Availability Review
ACT,35 to 44,Stroke,Capacity Building,15,22000.0,60.0,3,5.0,40.0,9800.0,Medium Risk,Provider Availability Review
ACT,35 to 44,Stroke,Capital,10,91500.0,65.5,3,3.3333,34.5,0.0,High Risk,Provider Availability Review
ACT,35 to 44,Stroke,Core,15,161000.0,71.0,3,5.0,29.0,82800.0,Medium Risk,Provider Availability Review
ACT,35 to 44,Visual Impairment,Capacity Building,30,11000.0,58.0,1,30.0,42.0,3567.0,High Risk,Provider Availability Review
ACT,35 to 44,Visual Impairment,Capital,10,20000.0,60.0,1,10.0,40.0,0.0,Medium Risk,Provider Availability Review
ACT,35 to 44,Visual Impairment,Core,23,29000.0,62.0,1,23.0,38.0,15522.0,High Risk,Provider Availability Review
ACT,45 to 54,ABI,Capacity Building,56,23000.0,69.0,20,2.8,31.0,11786.0,Medium Risk,Capacity Building Support Review
ACT,45 to 54,ABI,Capital,29,27000.0,81.0,2,14.5,19.0,10172.0,Medium Risk,Provider Availability Review
ACT,45 to 54,ABI,Core,52,183000.0,68.0,6,8.6667,32.0,109962.0,Medium Risk,Core Support Monitoring
ACT,45 to 54,Autism,Capacity Building,117,17000.0,61.0,31,3.7742,39.0,9530.0,Medium Risk,Capacity Building - Improved Daily Living
